property_type,sector,price,bedroom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category
flat,sector 28,1.91,2.0,2.0,2,New Property,1035.0,0.0,0.0,0.0,Medium,High Floor
flat,new,4.0,4.0,4.0,2,Moderately Old,3150.0,1.0,0.0,0.0,Medium,Mid Floor
flat,sector 79,1.85,3.0,4.0,3,New Property,1637.2422680412371,1.0,0.0,0.0,Low,High Floor
flat,sector 43,6.0,4.0,4.0,2,Old Property,2160.0,1.0,0.0,0.0,Low,Low Floor
flat,sector 81,2.2,3.0,4.0,3,Relatively New,2234.7422680412374,1.0,0.0,0.0,High,Mid Floor
flat,sector 86,0.5,2.0,2.0,2,Old Property,464.013,0.0,0.0,1.0,Low,Mid Floor
flat,sector 110,2.09,4.0,4.0,3,Relatively New,2600.0,1.0,0.0,0.0,Low,Mid Floor
flat,sector 50,2.6,3.0,4.0,2,Relatively New,2700.0,1.0,0.0,0.0,High,High Floor
house,sector 25,10.0,5.0,6.0,3,Old Property,2700.0,1.0,1.0,0.0,Medium,Mid Floor
flat,sector 88,1.19,2.0,2.0,3,Relatively New,1261.2283505154635,0.0,0.0,0.0,High,High Floor
flat,sector 84,0.85,2.0,2.0,3,New Property,1217.7835051546392,0.0,0.0,1.0,Low,Mid Floor
flat,sector 56,2.09,4.0,4.0,3,Relatively New,2300.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 65,2.15,2.0,2.0,3,Relatively New,1433.0,0.0,0.0,0.0,Low,High Floor
flat,sector 56,2.0,4.0,4.0,2,Under Construction,2074.7422680412374,0.0,0.0,1.0,Low,Mid Floor
flat,sector 88,2.65,3.0,3.0,3,New Property,1582.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 28,2.0,3.0,3.0,1,Old Property,1235.8247422680413,0.0,0.0,0.0,Medium,High Floor
flat,sector 85,1.98,3.0,4.0,3,Relatively New,2300.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 49,2.23,3.0,3.0,3,Relatively New,1833.89175257732,0.0,0.0,1.0,Low,High Floor
flat,sector 70,1.07,2.0,2.0,3,Relatively New,1217.7835051546392,0.0,0.0,0.0,Medium,Mid Floor
house,sector 26,5.8,5.0,5.0,3+,Old Property,1800.0,1.0,1.0,1.0,Medium,Low Floor
house,sector 86,2.47,4.0,4.0,3+,Moderately Old,2800.0,1.0,0.0,0.0,Medium,Low Floor
flat,sector 104,4.45,4.0,5.0,3,Relatively New,5850.0,0.0,0.0,1.0,Medium,High Floor
flat,sector 84,0.92,3.0,3.0,3,Relatively New,1646.2628865979382,0.0,0.0,1.0,Medium,Low Floor
flat,sector 106,1.35,4.0,4.0,3,Relatively New,2100.0,1.0,0.0,0.0,High,High Floor
flat,sector 99,1.9,4.0,4.0,3,New Property,2835.0,0.0,0.0,0.0,Medium,Low Floor
flat,sector 90,0.5,2.0,2.0,2,Relatively New,644.4,0.0,0.0,1.0,Low,Low Floor
